Parameters (Description)
^vml019^              Wind Chill Monthly Lo
^vme019^              Wind Chill Monthly Lo Date
^vyh019^              Wind Chill Yearly Hi
^vyd019^              Wind Chill Yearly Hi Date
^vyl019^              Wind Chill Yearly Lo
^vye019^              Wind Chill Yearly Lo Date
^vzh019^              Wind Chill Yesterday Hi
^vzt019^              Wind Chill Yesterday Hi Time
^vzs019^              Wind Chill Yesterday Lo Time
^vhv019^              Wind Chill 24hours ago
^vdv019^              Wind Chill 24hour difference
^uni019^              Wind Chill Units
^vxv020^              In Heat Ix
^vhi020^              In Heat Ix Daily Hi
^vht020^              In Heat Ix Daily Hi Time
^vlo020^              In Heat Ix Daily Lo
^vlt020^              In Heat Ix Daily Lo Time
^vva020^              In Heat Ix Running Average
^vda020^              In Heat Ix Daily Avg
^vma020^              In Heat Ix Month Avg
^vya020^              In Heat Ix Year Avg
^vvr020^              In Heat Ix Rate
^vrh020^              In Heat Ix Rate Hi
^vrt020^              In Heat Ix Rate Hi Time
^vrl020^              In Heat Ix Rate Lo
^vrs020^              In Heat Ix Rate Lo Time
^vmh020^              In Heat Ix Monthly Hi
^vmd020^              In Heat Ix Monthly Hi Date
^vml020^              In Heat Ix Monthly Lo
^vme020^              In Heat Ix Monthly Lo Date
^vyh020^              In Heat Ix Yearly Hi
^vyd020^              In Heat Ix Yearly Hi Date
^vyl020^              In Heat Ix Yearly Lo
^vye020^              In Heat Ix Yearly Lo Date
^vzh020^              In Heat Ix Yesterday Hi
^vzt020^              In Heat Ix Yesterday Hi Time
^vzs020^              In Heat Ix Yesterday Lo Time
^vhv020^              In Heat Ix 24hours ago
^vdv020^              In Heat Ix 24hour difference
^uni020^              In Heat Ix Units
^vxv021^              Out Heat Ix
^vhi021^              Out Heat Ix Daily Hi
^vht021^              Out Heat Ix Daily Hi Time
^vlo021^              Out Heat Ix Daily Lo
^vlt021^              Out Heat Ix Daily Lo Time
^vva021^              Out Heat Ix Running Average
^vda021^              Out Heat Ix Daily Avg
^vma021^              Out Heat Ix Month Avg
^vya021^              Out Heat Ix Year Avg
^vvr021^              Out Heat Ix Rate
^vrh021^              Out Heat Ix Rate Hi
^vrt021^              Out Heat Ix Rate Hi Time
^vrl021^              Out Heat Ix Rate Lo
^vrs021^              Out Heat Ix Rate Lo Time
^vmh021^              Out Heat Ix Monthly Hi
